,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E470_467,,,,0.93574,
E1543_357,0.71486,,,,
E1276_77,0.15261,,,,
E711_151,,0.3012,,,
E484_266,,,0.53213,,
E1772_384,0.76908,,,,
E1861_490,,,,,0.98193
E995_394,,,0.7891600000000001,,
E1467_2,,,0.00201,,
E1811_307,0.61446,,,,
E977_184,,,,0.36746999999999996,
E809_349,,0.6988,,,
E1247_255,,0.5100399999999999,,,
E775_497,0.99598,,,,
E1273_152,0.30321,,,,
E105_442,,0.88554,,,
E1681_164,,0.32731,,,
E1567_448,,,0.89759,,
E335_180,,,,,0.35944
E27_149,,,,,0.29719
E88_363,,,0.7269100000000001,,
E1195_387,,,0.7751,,
E785_293,0.58635,,,,
E1815_201,,,0.40160999999999997,,
E191_383,,,0.76707,,
E180_34,,0.06627000000000001,,,
E1657_336,,,0.67269,,
E272_189,0.37751,,,,
E610_390,,,0.78112,,
E1755_344,,0.68876,,,
E1025_215,,0.42972,,,
E1121_35,0.06827000000000001,,,,
E1971_131,,,0.26104,,
E1787_399,,0.7992,,,
E1707_375,0.7509999999999999,,,,
E1080_427,,,0.8554200000000001,,
E1749_59,,0.11647,,,
E1614_449,,,0.8996,,
E390_264,0.5281100000000001,,,,
E1499_1,0.0,,,,
E415_215,0.42972,,,,
E257_427,,,,0.8554200000000001,
E604_472,,0.94578,,,
E1252_21,,,0.04016,,
E1536_293,,,0.58635,,
E1109_424,,0.8494,,,
E1143_310,,0.62048,,,
E1710_164,0.32731,,,,
E339_92,0.18273,,,,
E1236_343,,,0.68675,,
E397_370,,,0.7409600000000001,,
E301_426,,,0.85341,,
E794_312,0.6245,,,,
E595_490,,,,,0.98193
E524_363,,,0.7269100000000001,,
E1763_362,,,0.7249,,
E1065_305,0.61044,,,,
E1745_255,0.5100399999999999,,,,
E1732_398,,0.79719,,,
E1808_77,,,0.15261,,
E813_354,0.7088399999999999,,,,
E394_95,,0.18875999999999998,,,
E502_12,,,0.022090000000000002,,
E161_348,,,0.6967899999999999,,
E532_38,,,,,0.0743
E1066_72,0.14257,,,,
E147_292,0.58434,,,,
E420_141,,,,,0.28112
E1941_105,0.20884,,,,
E207_240,0.47991999999999996,,,,
E946_162,0.32329,,,,
E63_456,0.91365,,,,
E202_302,0.60442,,,,
E278_213,0.4257,,,,
E658_361,,,0.7228899999999999,,
E1816_27,,0.05221,,,
E650_105,,0.20884,,,
E1217_204,,,0.40763,,
E1205_134,,0.26707,,,
E609_245,,0.48996000000000006,,,
E1552_401,,,0.8032100000000001,,
E784_47,,0.09237000000000001,,,
E802_268,,0.53614,,,
E1864_394,0.7891600000000001,,,,
E130_440,,,0.8815299999999999,,
E869_7,,0.01205,,,
E1748_106,,,0.21084,,
E439_70,,,0.13855,,
E826_150,0.2992,,,,
E1104_260,,,0.52008,,
E483_381,0.76305,,,,
E1537_58,,0.11445999999999999,,,
E769_454,0.90964,,,,
E879_289,0.57831,,,,
E1140_204,,,,0.40763,
E1929_276,,,0.5522100000000001,,
E1751_62,,,0.12249000000000002,,
E1319_469,0.93976,,,,
E654_239,0.47791000000000006,,,,
E116_239,,0.47791000000000006,,,
E1462_198,,,0.39558000000000004,,
E1769_390,,0.78112,,,
E1175_2,,0.00201,,,
E1847_343,,,0.68675,,
E1757_418,,,0.83735,,
E928_336,0.67269,,,,
E1573_497,,0.99598,,,
E1555_126,0.251,,,,
E449_61,,0.12047999999999999,,,
E1607_365,,,0.73092,,
E797_133,,,0.26506,,
E998_1,,,0.0,,
E1019_1,,,,0.0,
E559_45,,0.08835,,,
E787_442,,0.88554,,,
E1604_191,0.38153000000000004,,,,
E1859_80,0.15863,,,,
E1872_200,,,0.3996,,
E762_407,,,0.81526,,
E64_35,0.06827000000000001,,,,
E1108_99,0.19679000000000002,,,,
E1818_366,0.73293,,,,
E69_444,,,0.88956,,
E1879_288,,,0.57631,,
E1128_72,,0.14257,,,
E1301_452,,0.9056200000000001,,,
E833_275,,,0.5502,,
E844_407,,,,,0.81526
E1146_256,0.51205,,,,
E72_245,,,0.48996000000000006,,
E1259_202,,,0.40360999999999997,,
E282_73,0.14458,,,,
E1347_305,,,,0.61044,
E432_452,0.9056200000000001,,,,
E1975_407,0.81526,,,,
E937_114,0.22691,,,,
E850_96,0.19075999999999999,,,,
E1504_387,,,0.7751,,
E1705_60,,0.11847,,,
E573_20,0.03815,,,,
E1852_462,,,0.9257,,
E11_434,0.8694799999999999,,,,
E1624_337,0.6747,,,,
E691_370,,,0.7409600000000001,,
E375_97,,0.19277,,,
E685_266,,,0.53213,,
E275_385,,,,,0.77108
E1040_372,,,0.74498,,
E1985_422,,,,,0.8453799999999999
E473_471,0.94378,,,,
E1464_107,0.21285,,,,
E503_450,,0.90161,,,
E1242_307,,0.61446,,,
E1803_101,,0.2008,,,
E151_469,,0.93976,,,
E814_449,,0.8996,,,
E1836_63,0.1245,,,,
E482_136,,,0.27108000000000004,,
E640_17,0.03213,,,,
E614_178,0.35541999999999996,,,,
E1795_246,0.49196999999999996,,,,
E1874_107,0.21285,,,,
E837_480,,,,0.96185,
E1488_352,,0.70482,,,
E428_309,0.61847,,,,
E199_63,0.1245,,,,
E1557_374,0.7490000000000001,,,,
E777_492,,,0.9859399999999999,,
E1335_101,,0.2008,,,
E1241_495,,,0.99197,,
E33_482,,,0.96586,,
E1060_41,,,,,0.08032
E491_80,0.15863,,,,
E1947_139,0.27710999999999997,,,,
E1577_489,,0.9799200000000001,,,
E354_466,0.93373,,,,
E875_300,,,0.6004,,
E132_339,,0.67871,,,
E1708_188,,,,0.3755,
E1909_151,,,0.3012,,
E472_377,,,0.75502,,
E1064_117,0.23293000000000003,,,,
E1029_67,,0.13253,,,
E1321_418,,,0.83735,,
E1962_282,,0.56426,,,
E246_448,,,,,0.89759
E497_393,,0.78715,,,
E1164_28,,,0.054220000000000004,,
E1403_226,,0.45181000000000004,,,
E1157_33,0.06426,,,,
E1271_46,,0.09036,,,
E888_499,,1.0,,,
E166_156,,0.31124,,,
E222_161,,,,,0.32129
E465_388,0.7771100000000001,,,,
E160_25,0.04819,,,,
E281_278,,0.5562199999999999,,,
E164_41,0.08032,,,,
E1360_93,0.18474000000000002,,,,
E772_14,0.0261,,,,
E698_475,0.95181,,,,
E1384_383,,,0.76707,,
E411_374,,,0.7490000000000001,,
E1525_34,,,0.06627000000000001,,
E217_337,,,0.6747,,
E738_172,,,,0.34337,
E893_368,,0.73695,,,
E555_142,0.28313,,,,
E386_158,0.31526,,,,
E1272_265,,,0.53012,,
E1937_349,,,0.6988,,
E44_273,,0.54618,,,
E1949_486,,0.9739,,,
E1775_267,0.53414,,,,
E1078_341,0.6827300000000001,,,,
E962_27,,,0.05221,,
E1058_330,,,0.66064,,
E796_411,,0.82329,,,
E1838_64,,,0.12650999999999998,,
E181_154,0.30723,,,,
E1125_323,,,,,0.64659
E1759_370,0.7409600000000001,,,,
E1379_291,0.58233,,,,
E1457_217,,,0.43373,,
E766_296,0.59237,,,,
E1789_232,0.46386000000000005,,,,
E702_410,0.82129,,,,
E76_1,,,,,0.0
E1978_413,0.82731,,,,
E1294_370,,,0.7409600000000001,,
E1917_413,,,0.82731,,
E1038_305,,0.61044,,,
E286_77,0.15261,,,,
E1410_458,,0.9176700000000001,,,
E1409_154,,,0.30723,,
E1127_486,,,0.9739,,
E153_59,,0.11647,,,
E224_204,,,0.40763,,
E47_31,,0.060239999999999995,,,
E1670_278,,0.5562199999999999,,,
E1931_127,0.25301,,,,
E476_328,0.65663,,,,
E215_291,,,0.58233,,
E1219_63,,0.1245,,,
E1533_52,,0.10240999999999999,,,
E1014_149,0.29719,,,,
E1943_260,,0.52008,,,
E1455_105,0.20884,,,,
E1930_388,0.7771100000000001,,,,
E1416_294,,,0.58835,,
E405_60,0.11847,,,,
E422_371,,,0.74297,,
E1550_287,,,0.5743,,
E1807_22,,,,0.04217,
E1265_330,,,,0.66064,
E359_491,0.9839399999999999,,,,
E95_15,,0.028110000000000003,,,
E1314_494,,,0.9899600000000001,,
E1895_281,,,,0.56225,
E1334_316,0.63253,,,,
E434_367,,,0.7349399999999999,,
E1268_270,0.5401600000000001,,,,
E851_238,0.4759,,,,
E1956_162,,,0.32329,,
E334_98,,0.19478,,,
E1026_101,,,0.2008,,
E1684_341,,0.6827300000000001,,,
E1799_159,0.31727,,,,
E1154_381,,0.76305,,,
E1661_62,,0.12249000000000002,,,
E5_350,,0.7008,,,
E1631_357,,,,0.71486,
E1761_462,,,0.9257,,
E1876_438,0.87751,,,,
E183_265,,0.53012,,,
E324_301,,,0.60241,,
E983_121,,,0.24095999999999998,,
E1798_126,0.251,,,,
E1974_283,,0.5662699999999999,,,
E1686_52,,,0.10240999999999999,,
E337_492,,0.9859399999999999,,,
E54_277,,0.5542199999999999,,,
E681_237,0.4739,,,,
E1984_352,,0.70482,,,
E1310_374,,,,,0.7490000000000001
E1415_370,0.7409600000000001,,,,
E1565_112,,,0.22289,,
E1341_12,,0.022090000000000002,,,
E252_138,,0.2751,,,
E6_9,0.016059999999999998,,,,
E815_482,,,0.96586,,
E94_185,0.36948000000000003,,,,
E448_342,,0.68474,,,
E899_443,,0.88755,,,
E839_329,,,0.65863,,
E957_187,0.37349,,,,
E52_155,,,0.30924,,
E352_372,,0.74498,,,
E594_215,0.42972,,,,
E883_354,0.7088399999999999,,,,
E1032_298,,0.59639,,,
E431_351,0.70281,,,,
E1007_29,,0.056220000000000006,,,
E1658_120,,,0.23895999999999998,,
E1529_201,0.40160999999999997,,,,
E1367_209,0.41767,,,,
E1477_143,,0.28514,,,
E782_274,,0.54819,,,
E908_327,0.65462,,,,
E373_306,,0.61245,,,
E1652_172,,0.34337,,,
E870_308,0.61647,,,,
E1119_327,,,0.65462,,
E507_455,,,0.91165,,
E414_111,0.22088000000000002,,,,
E768_184,,0.36746999999999996,,,
E371_391,,,0.78313,,
E1703_261,0.5220899999999999,,,,
E384_470,,,0.9417700000000001,,
E581_358,0.71687,,,,
E982_387,,0.7751,,,
E351_440,0.8815299999999999,,,,
E1773_447,,,0.8955799999999999,,
E603_401,,,0.8032100000000001,,
E877_27,,,0.05221,,
E1976_50,,0.09838999999999999,,,
E1120_272,0.54418,,,,
E527_480,0.96185,,,,
E571_448,,,,,0.89759
E1501_446,0.8935700000000001,,,,
E1138_96,,0.19075999999999999,,,
E1532_102,,,,,0.20281
E1714_242,,0.48394,,,
E1073_237,,,0.4739,,
E1227_216,0.43173,,,,
E849_100,0.1988,,,,
E1765_366,0.73293,,,,
E629_381,0.76305,,,,
E92_484,0.96988,,,,
E1043_11,,,0.02008,,
E1907_291,0.58233,,,,
E1427_286,,,0.57229,,
E902_262,,,0.5241,,
E1370_182,,0.36345,,,
E1699_375,,,,,0.7509999999999999
E1220_326,,,0.65261,,
E1983_118,0.23494,,,,
E302_309,,,0.61847,,
E1031_180,0.35944,,,,
E880_179,0.35743,,,,
E163_198,0.39558000000000004,,,,
E1672_293,,,0.58635,,
E1977_334,0.66867,,,,
E344_215,,0.42972,,,
E1396_360,,,0.72088,,
E1208_399,,0.7992,,,
E1939_452,,0.9056200000000001,,,
E779_180,0.35944,,,,
E360_265,,,,,0.53012
E657_301,,,0.60241,,
E1258_40,,0.07831,,,
E38_150,,0.2992,,,
E435_485,,,,,0.9718899999999999
E1722_87,,0.17269,,,
E1508_235,,,0.46988,,
E196_432,,0.86546,,,
E699_497,,,0.99598,,
E1776_472,0.94578,,,,
E451_156,,,,,0.31124
E175_132,,,,0.26305,
E1541_79,,,0.15663,,
E120_78,0.15462,,,,
E1843_154,,0.30723,,,
E1254_173,,0.34538,,,
E1448_420,,0.8413700000000001,,,
E1292_110,0.21888000000000002,,,,
E1295_245,,,0.48996000000000006,,
E923_498,,,0.9979899999999999,,
E123_33,0.06426,,,,
E646_29,0.056220000000000006,,,,
E1896_437,,,0.8755,,
E854_57,,0.11245,,,
E1741_386,0.7730899999999999,,,,
E1692_16,,,0.030119999999999997,,
E93_393,,0.78715,,,
E25_389,,,0.77912,,
E1594_435,,0.87149,,,
E398_397,0.79518,,,,
E1511_282,,0.56426,,,
E174_375,0.7509999999999999,,,,
E1689_469,,,,0.93976,
E1309_388,,0.7771100000000001,,,
E537_393,0.78715,,,,
E429_495,,,0.99197,,
E1928_470,0.9417700000000001,,,,
E868_5,,,0.008029999999999999,,
E583_66,0.13052,,,,
E881_62,,,0.12249000000000002,,
E897_100,,,0.1988,,
E1381_361,,,0.7228899999999999,,
E780_312,,,0.6245,,
E1144_355,,0.7108399999999999,,,
E1418_214,,0.42771000000000003,,,
E1601_433,,,,0.8674700000000001,
E445_199,0.39759,,,,
E1413_190,0.37951999999999997,,,,
E230_383,,,0.76707,,
E1102_380,,0.7610399999999999,,,
E783_457,0.91566,,,,
E1475_90,,0.17870999999999998,,,
E385_364,0.72892,,,,
E1079_259,,,0.51807,,
E24_350,0.7008,,,,
E952_9,0.016059999999999998,,,,
E1199_100,,0.1988,,,
E388_3,,,0.00402,,
E576_79,,0.15663,,,
E1442_145,,0.28916,,,
E959_400,,,0.8012,,
E1665_28,,,,0.054220000000000004,
E1666_13,,,,,0.0241
E1011_324,,,0.64859,,
E944_226,,,0.45181000000000004,,
E372_207,0.41365,,,,
E1471_172,,,0.34337,,
E1245_465,,0.93173,,,
E1486_374,0.7490000000000001,,,,
E115_320,0.64056,,,,
E830_248,,,0.49598000000000003,,
E1643_196,,,0.39157,,
E566_377,0.75502,,,,
E1134_19,,,0.03614,,
E487_27,0.05221,,,,
E103_67,,,0.13253,,
E1419_245,,,0.48996000000000006,,
E1337_180,0.35944,,,,
E399_255,,,0.5100399999999999,,
E1385_380,,,0.7610399999999999,,
E1189_252,,,0.50402,,
E993_274,,0.54819,,,
E1322_474,0.9498,,,,
E288_340,,0.68072,,,
E607_218,0.43573999999999996,,,,
E1791_28,,0.054220000000000004,,,
E152_410,0.82129,,,,
E1355_356,,,0.71285,,
E1996_356,,0.71285,,,
E876_257,,0.5140600000000001,,,
E1574_75,,0.14859,,,
E254_317,0.63454,,,,
E1855_354,0.7088399999999999,,,,
E666_40,,,,,0.07831
E193_6,0.01004,,,,
E956_121,,,0.24095999999999998,,
E598_58,,,,,0.11445999999999999
E1880_353,0.7068300000000001,,,,
E1844_209,0.41767,,,,
E1713_371,,0.74297,,,
E1659_21,,,0.04016,,
E580_295,0.59036,,,,
E379_371,,0.74297,,,
E1642_24,,,0.04618,,
E1033_439,,,0.8795200000000001,,
E1257_146,0.29116,,,,
E1269_59,,,0.11647,,
E1115_10,,,,0.01807,
E73_139,0.27710999999999997,,,,
E664_492,,,0.9859399999999999,,
E1649_459,0.9196799999999999,,,,
E1299_312,,0.6245,,,
E485_286,,0.57229,,,
E804_403,,,0.80723,,
E1921_78,0.15462,,,,
E917_466,,,0.93373,,
E688_202,,,0.40360999999999997,,
E757_478,,,,0.95783,
E534_288,,0.57631,,,
E1045_270,,0.5401600000000001,,,
E45_173,,,0.34538,,
E49_238,0.4759,,,,
E602_146,,0.29116,,,
E1264_389,0.77912,,,,
E389_424,,0.8494,,,
E649_304,,,0.60843,,
E1293_167,,0.33333,,,
E859_482,,,0.96586,,
E1738_302,0.60442,,,,
E1459_279,,,0.55823,,
E807_71,,,,,0.14056
E968_145,0.28916,,,,
E1165_136,,,0.27108000000000004,,
E262_231,0.46185,,,,
E520_413,,,0.82731,,
E628_345,,,0.69076,,
E1472_446,,,0.8935700000000001,,
E176_146,,0.29116,,,
E1797_231,,,0.46185,,
E644_226,,0.45181000000000004,,,
E494_285,0.57028,,,,
E1954_290,0.58032,,,,
E318_166,0.33133,,,,
E21_27,0.05221,,,,
E1061_96,,,0.19075999999999999,,
E1445_236,0.47189,,,,
E269_496,,,,,0.99398
E1479_264,,,0.5281100000000001,,
E1342_128,,,0.25501999999999997,,
E1261_86,,,,0.17068,
E333_371,,,0.74297,,
E1209_87,,,0.17269,,
E1599_428,,,0.8574299999999999,,
E1054_394,,,0.7891600000000001,,
E1221_116,,0.23092,,,
E1819_406,,,0.81325,,
E825_198,,0.39558000000000004,,,
E387_495,,,0.99197,,
E438_494,,0.9899600000000001,,,
E678_83,,0.16466,,,
E35_234,,,0.46787,,
E1750_427,,,0.8554200000000001,,
E642_121,,,,0.24095999999999998,
E206_160,,0.31928,,,
E247_366,0.73293,,,,
E723_254,,,,,0.50803
E1709_75,0.14859,,,,
E597_317,,,,,0.63454
E23_91,0.18072,,,,
E1632_192,,0.38353000000000004,,,
E1782_469,0.93976,,,,
E408_133,,0.26506,,,
E83_198,0.39558000000000004,,,,
E932_212,,0.42368999999999996,,,
E1706_425,0.85141,,,,
E353_222,0.44378,,,,
E733_429,,,0.85944,,
E391_80,,,0.15863,,
E1647_291,0.58233,,,,
E1682_88,,,0.1747,,
E182_141,,0.28112,,,
E1794_137,0.27309,,,,
E1693_17,,,0.03213,,
E1218_117,0.23293000000000003,,,,
E143_27,0.05221,,,,
E1325_36,,0.07028,,,
E1037_345,,,0.69076,,
E1408_126,,0.251,,,
E960_294,0.58835,,,,
E715_416,,,0.8333299999999999,,
E693_147,0.29317,,,,
E1172_336,,,,0.67269,
E173_455,,,0.91165,,
E321_25,0.04819,,,,
E619_110,0.21888000000000002,,,,
E514_82,0.16265,,,,
E1966_251,,,,,0.5020100000000001
E142_491,0.9839399999999999,,,,
E675_327,,,0.65462,,
E1900_459,,,0.9196799999999999,,
E1644_444,,,0.88956,,
E1851_394,,,0.7891600000000001,,
E986_348,,0.6967899999999999,,,
E1793_169,0.33735,,,,
E934_10,0.01807,,,,
E855_358,,,0.71687,,
E1461_55,0.10843,,,,
E1998_226,,,0.45181000000000004,,
E1210_462,,0.9257,,,
E248_459,,0.9196799999999999,,,
E1041_161,0.32129,,,,
E1346_481,0.96386,,,,
E364_476,0.9538200000000001,,,,
E1873_29,,0.056220000000000006,,,
E101_256,,0.51205,,,
E752_72,0.14257,,,,
E1327_243,,,0.48594,,
E1697_211,,,0.42168999999999995,,
E843_375,,,0.7509999999999999,,
E1070_44,,0.08635,,,
E416_205,,,0.40963999999999995,,
E1842_167,,0.33333,,,
E1781_88,,,0.1747,,
E990_463,0.92771,,,,
E316_315,,,0.63052,,
E1598_449,0.8996,,,,
E1575_355,,,0.7108399999999999,,
E788_94,0.18675,,,,
E1680_333,,,0.66667,,
E1317_240,0.47991999999999996,,,,
E1351_145,0.28916,,,,
E1050_276,,0.5522100000000001,,,
E1586_338,,,0.67671,,
E29_179,,0.35743,,,
E1129_282,,,0.56426,,
E694_101,0.2008,,,,
E43_228,0.45582,,,,
E1877_240,0.47991999999999996,,,,
E748_245,,,0.48996000000000006,,
E673_368,0.73695,,,,
E1111_279,,,0.55823,,
E1626_170,0.33936,,,,
E1547_51,0.1004,,,,
E277_191,,,0.38153000000000004,,
E569_200,,,0.3996,,
E1542_150,,,0.2992,,
E1881_390,0.78112,,,,
E940_438,0.87751,,,,
E1562_401,0.8032100000000001,,,,
E652_342,0.68474,,,,
E1578_390,,0.78112,,,
E1365_132,0.26305,,,,
E154_493,,,0.98795,,
E453_263,,0.5261,,,
E30_8,,0.01406,,,
E1806_300,,,0.6004,,
E1187_289,,0.57831,,,
E1743_371,,,0.74297,,
E1094_161,0.32129,,,,
E1354_212,,,0.42368999999999996,,
E770_103,,,0.20481999999999997,,
E1326_71,,0.14056,,,
E458_34,,,0.06627000000000001,,
E119_496,,0.99398,,,
E1168_84,,,,,0.16667
E156_42,,,0.08233,,
E529_288,,,,0.57631,
E187_77,,,0.15261,,
E436_97,,,0.19277,,
E307_245,0.48996000000000006,,,,
E546_461,,,0.92369,,
E1177_157,0.31325,,,,
E1623_413,,0.82731,,,
E1539_97,,0.19277,,,
E1431_344,0.68876,,,,
E469_302,,,0.60442,,
E1865_366,,0.73293,,,
E749_10,,0.01807,,,
E1225_195,,0.38956,,,
E547_1,,,0.0,,
E921_205,0.40963999999999995,,,,
E735_200,0.3996,,,,
E78_198,,,0.39558000000000004,,
E1202_175,0.3494,,,,
E184_179,0.35743,,,,
E1340_148,0.29518,,,,
E535_206,,,0.41165,,
E745_207,0.41365,,,,
E1934_475,0.95181,,,,
E1167_415,0.8313299999999999,,,,
E327_74,,,0.14659,,
E548_471,,,0.94378,,
E1821_443,0.88755,,,,
E3_125,,,,,0.249
E190_223,0.44578,,,,
E1190_269,0.53815,,,,
E1702_363,0.7269100000000001,,,,
E479_154,,0.30723,,,
E1938_429,,0.85944,,,
E709_20,,,,,0.03815
E1432_335,,,0.67068,,
E510_429,,,0.85944,,
E1235_235,0.46988,,,,
E808_237,,,0.4739,,
E406_427,0.8554200000000001,,,,
